dataset,wave,domain,variable,variable_label,has_value_labels
CFPS,2014,id_person,pid,个人ID,True
CFPS,2014,id_family,fid14,2014年家庭样本编码,True
CFPS,2014,id_family,fid12,2012年家庭样本编码,True
CFPS,2014,id_family,fid10,2010年家庭样本编码,True
CFPS,2014,region,provcd14,2014年省国标码,True
CFPS,2014,region,countyid14,区县顺序码,True
CFPS,2014,region,urban14,基于国家统计局资料的城乡分类,True
CFPS,2014,id_person,code_b_1,个人编码,True
CFPS,2014,id_person,code_a_f,父亲个人编码,True
CFPS,2014,id_person,pid_f,父亲在调查中的样本编码,True
CFPS,2014,id_parent_child,pid_f,父亲在调查中的样本编码,True
CFPS,2014,id_person,code_a_m,母亲个人编码,True
CFPS,2014,id_person,pid_m,母亲在调查中的样本编码,True
CFPS,2014,id_parent_child,pid_m,母亲在调查中的样本编码,True
CFPS,2014,id_person,code_a_s,配偶个人编码,True
CFPS,2014,marriage,code_a_s,配偶个人编码,True
CFPS,2014,id_person,pid_s,配偶在调查中的样本编码,True
CFPS,2014,marriage,pid_s,配偶在调查中的样本编码,True
CFPS,2014,id_person,code_a_c1,孩1个人编码,True
CFPS,2014,id_person,pid_c1,孩子1在调查中的样本编码,True
CFPS,2014,id_person,code_a_c2,孩2个人编码,True
CFPS,2014,id_person,pid_c2,孩子2在调查中的样本编码,True
CFPS,2014,id_person,code_a_c3,孩3个人编码,True
CFPS,2014,id_person,pid_c3,孩子3在调查中的样本编码,True
CFPS,2014,id_person,code_a_c4,孩4个人编码,True
CFPS,2014,id_person,pid_c4,孩子4在调查中的样本编码,True
CFPS,2014,id_person,code_a_c5,孩5个人编码,True
CFPS,2014,id_person,pid_c5,孩子5在调查中的样本编码,True
CFPS,2014,id_person,code_a_c6,孩6个人编码,True
CFPS,2014,id_person,pid_c6,孩子6在调查中的样本编码,True
CFPS,2014,id_person,code_a_c7,孩7个人编码,True
CFPS,2014,id_person,pid_c7,孩子7在调查中的样本编码,True
CFPS,2014,id_person,code_a_c8,孩8个人编码,True
CFPS,2014,id_person,pid_c8,孩子8在调查中的样本编码,True
CFPS,2014,id_person,code_a_c9,孩9个人编码,True
CFPS,2014,id_person,pid_c9,孩子9在调查中的样本编码,True
CFPS,2014,id_person,code_a_c10,孩10个人编码,True
CFPS,2014,id_person,pid_c10,孩子10在调查中的样本编码,True
CFPS,2014,weight,rswt_natcs14,CFPS2014个人横截面权数:全国总样本,True
CFPS,2014,weight,rswt_rescs14,CFPS2014个人横截面权数：2010年全国再抽样样本,True
CFPS,2014,weight,rswt_natpn1014,CFPS2014个人面板权数:全国总样本,True
CFPS,2014,weight,rswt_respn1014,CFPS2014个人面板权数：2010年全国再抽样样本,True
CFPS,2014,birth_age,cfps_birthy,出生年份,True
CFPS,2014,birth_age,cfps2014_age,2014年调查时的年龄,True
CFPS,2014,marriage,cfps2012_marriage,2012调查的婚姻状态,True
CFPS,2014,education,cfps2012latest_school,最近一次调查是否在上学,True
CFPS,2014,education,cfps2012_latest_edu,最近一次调查最高学历,True
CFPS,2014,education,cfps2012_latest_r1,最近一次调查上学阶段,True
