dataset,year,file,variable,short,found,variable_label,conceptual_domain,measurement_level,scale_max,agree_code,direction,analytic_coding,n_total,n_valid,pct_valid,mean_raw
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w611,men-society/women-family,True,w611 男人以社会为主，女人以家庭为主,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23721,99.9,3.285
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w612,men-innately-more-capable,True,w612 男性能力天生比女性强,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23717,99.9,3.744
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w613,women-avoid-surpassing-husband,True,w613 女性应避免在社会地位上超过她的丈夫,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23713,99.9,3.894
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w614,wife-supports-husband-success,True,w614 丈夫的成功就是妻子的成功，妻子要全力支持丈夫,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23715,99.9,2.436
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w615,child-takes-mother-surname,True,w615 让您的孩子随母亲的姓,gender_ideology,Likert,5,1,progressive,"recode to [0,1], higher=more traditional",23740,23708,99.9,3.725
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w616,women-not-half-the-sky,True,w616 实际上，女性在我国政治、经济生活中没有起到半边天的作用,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23711,99.9,3.746
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w617,men-handle-external-affairs,True,w617 男性理应负责家庭事务的外部交往,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23714,99.9,3.09
ACWF,1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,w618,widow-remarry-leave-property,True,w618 寡妇再婚应把财产留给前夫的孩子或家人,gender_ideology,Likert,5,1,traditional,"recode to [0,1], higher=more traditional",23740,23707,99.9,3.329
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_a,men-society/women-family,True,i3_a 男人以社会为主，女人以家庭为主,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,18962,97.5,2.515
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_b,men-innately-more-capable,True,i3_b 男人能力天生比女人强,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,18868,97.0,2.857
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_c,marry-well-over-work,True,i3_c 干得好不如嫁得好,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,18337,94.3,2.785
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_d,woman-needs-children,True,i3_d 没有孩子的女人不是一个完整的女人,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,18023,92.7,2.973
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_e,women-avoid-surpassing-husband,True,i3_e 女性应避免在社会地位上超过她的丈夫,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,18147,93.3,3.074
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_g,women-looks-over-ability,True,i3_g 一般而言，女性找工作相貌比能力更重要,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",19449,17874,91.9,2.799
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_h,30pct-women-leaders,True,i3_h 在政府高层领导中，至少应有30%是女性,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",19449,16955,87.2,1.752
ACWF,2000,surveys/中国妇女地位调查/2000/w2000.dta,i3_i,men-share-half-housework,True,i3_i 男人应承担一半家务,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",19449,18803,96.7,1.739
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2A,women-no-less-capable,True,J2 A女人的能力不比男人差,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",29693,25700,86.6,1.76
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2B,men-society/women-family,True,J2B男人应该以社会为主，女人应该以家庭为主,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",29693,25763,86.8,2.317
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2C,breadwinning-mens-job,True,J2C挣钱养家主要是男人的事情,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",29693,25869,87.1,2.307
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2D,husband-career-more-important,True,J2D丈夫的发展比妻子的发展更重要,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",29693,25399,85.5,2.281
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2E,men-share-housework,True,J2E男人也应该主动承担家务劳动,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",29693,25875,87.1,1.791
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2F,boys-be-boys-girls-be-girls,True,J2F男孩要有男孩样，女孩要有女孩样,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",29693,25710,86.6,1.708
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2G,marry-well-over-work,True,J2G干得好不如嫁得好,gender_ideology,Likert,4,1,traditional,"recode to [0,1], higher=more traditional",29693,24927,83.9,2.526
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2H,equal-leadership,True,J2H在领导岗位上男女比例应大致相等,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",29693,23534,79.3,1.959
ACWF,2010,surveys/中国妇女地位调查/2010/w2010.DTA,J2I,actively-promote-equality,True,J2I男女平等不会自然而然实现，需要积极推动,gender_ideology,Likert,4,1,progressive,"recode to [0,1], higher=more traditional",29693,24012,80.9,1.627
CFPS,2014,surveys/CFPS/cfps2014_adult.dta,qm1101,men-career/women-family,True,男女分工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",39768,31511,79.2,3.969
CFPS,2014,surveys/CFPS/cfps2014_adult.dta,qm1102,marry-well-over-work,True,女人婚姻,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",39768,31434,79.0,3.559
